transaction_id,store_id,store_region,loyalty_flag,payment_type,total_quantity,distinct_products,transaction_value
TXN-0000036,ST-SCA-001,Central,Y,Debit,6,5,58.61
TXN-0000037,ST-SCA-001,Central,Y,Debit,5,4,56.38
TXN-0000038,ST-SCA-001,Central,Y,Mobile,5,5,52.61
TXN-0000039,ST-SCA-001,Central,Y,Debit,4,3,22.57
TXN-0000040,ST-SCA-001,Central,Y,Debit,3,2,13.40
TXN-0000041,ST-SCA-001,Central,Y,Credit,10,6,127.33
TXN-0000042,ST-SCA-001,Central,Y,Debit,7,5,47.96
TXN-0000043,ST-SCA-001,Central,N,Debit,4,3,26.37
TXN-0000044,ST-SCA-001,Central,Y,Credit,4,3,21.83
TXN-0000045,ST-SCA-001,Central,N,Debit,5,5,44.49
TXN-0000046,ST-SCA-001,Central,N,Debit,8,5,77.80
TXN-0000047,ST-SCA-001,Central,Y,Debit,6,5,49.75
TXN-0000048,ST-SCA-001,Central,N,Debit,1,1,10.67
TXN-0000049,ST-MIS-001,Central,Y,Credit,4,3,35.40
TXN-0000050,ST-MIS-001,Central,Y,Credit,2,1,25.16
TXN-0000051,ST-MIS-001,Central,Y,Debit,6,4,62.13
TXN-0000052,ST-MIS-001,Central,N,Cash,10,4,63.16
TXN-0000053,ST-MIS-001,Central,Y,Credit,3,2,26.94
TXN-0000054,ST-MIS-001,Central,Y,Credit,5,2,52.52
TXN-0000055,ST-MIS-001,Central,N,Debit,4,3,25.48
TXN-0000056,ST-MIS-001,Central,Y,Credit,5,3,40.09
TXN-0000057,ST-MIS-001,Central,N,Credit,4,3,59.44
TXN-0000058,ST-MIS-001,Central,N,Debit,3,2,42.37
TXN-0000059,ST-MIS-001,Central,N,Debit,3,3,27.55
TXN-0000060,ST-MIS-001,Central,Y,Mobile,9,6,85.15
TXN-0000061,ST-MIS-001,Central,N,Cash,4,4,41.37
TXN-0000062,ST-MIS-001,Central,Y,Debit,1,1,15.87
TXN-0000063,ST-MIS-001,Central,Y,Credit,7,3,49.35
TXN-0000064,ST-BRA-001,Central,Y,Debit,5,4,44.31
TXN-0000065,ST-BRA-001,Central,Y,Debit,2,2,16.78
TXN-0000066,ST-BRA-001,Central,Y,Debit,1,1,3.23
TXN-0000067,ST-BRA-001,Central,N,Mobile,4,4,34.49
TXN-0000068,ST-BRA-001,Central,N,Debit,2,1,30.80
TXN-0000069,ST-BRA-001,Central,Y,Cash,2,2,10.66
TXN-0000070,ST-BRA-001,Central,N,Debit,5,4,54.66
TXN-0000071,ST-BRA-001,Central,Y,Credit,7,4,77.90
TXN-0000072,ST-BRA-001,Central,Y,Mobile,5,5,50.14
TXN-0000073,ST-BRA-001,Central,Y,Credit,5,5,56.75
TXN-0000074,ST-HAM-001,Central,Y,Credit,7,5,79.09
TXN-0000075,ST-HAM-001,Central,Y,Debit,6,4,48.62
TXN-0000076,ST-HAM-001,Central,N,Debit,5,3,48.33
TXN-0000077,ST-HAM-001,Central,Y,Cash,8,5,101.35
TXN-0000078,ST-HAM-001,Central,Y,Credit,3,2,40.25
TXN-0000079,ST-HAM-001,Central,Y,Debit,4,4,41.41
TXN-0000080,ST-HAM-001,Central,Y,Debit,3,3,17.24
TXN-0000081,ST-HAM-001,Central,Y,Mobile,5,3,49.16
TXN-0000082,ST-HAM-001,Central,Y,Cash,5,2,24.40
TXN-0000083,ST-HAM-001,Central,Y,Cash,4,2,36.42
TXN-0000084,ST-HAM-001,Central,Y,Cash,2,2,20.30
TXN-0000085,ST-KIT-001,Central,Y,Debit,3,3,23.86
TXN-0000086,ST-KIT-001,Central,Y,Credit,4,2,25.64
TXN-0000087,ST-KIT-001,Central,Y,Debit,3,2,39.79
TXN-0000088,ST-KIT-001,Central,Y,Credit,6,3,45.31
TXN-0000089,ST-KIT-001,Central,Y,Mobile,5,3,34.46
TXN-0000090,ST-KIT-001,Central,Y,Cash,2,2,13.15
TXN-0000091,ST-KIT-001,Central,Y,Credit,1,1,16.20
TXN-0000092,ST-KIT-001,Central,N,Credit,4,4,50.47
TXN-0000093,ST-KIT-001,Central,N,Credit,2,2,7.67
TXN-0000094,ST-KIT-001,Central,Y,Credit,6,4,64.03
TXN-0000095,ST-LON-001,Central,Y,Mobile,7,5,90.37
TXN-0000096,ST-LON-001,Central,Y,Credit,1,1,7.32
TXN-0000097,ST-LON-001,Central,N,Debit,4,2,44.76
TXN-0000098,ST-LON-001,Central,Y,Credit,3,2,12.57
TXN-0000099,ST-LON-001,Central,Y,Debit,4,4,42.79
TXN-0000100,ST-LON-001,Central,N,Cash,5,3,64.06
TXN-0000101,ST-LON-001,Central,N,Credit,8,4,85.86
TXN-0000102,ST-LON-001,Central,Y,Debit,6,4,87.86
TXN-0000103,ST-LON-001,Central,Y,Credit,7,3,86.19
TXN-0000104,ST-LON-001,Central,Y,Credit,2,2,9.84
TXN-0000105,ST-LON-001,Central,N,Credit,3,2,22.31
TXN-0000106,ST-OTT-001,Eastern,N,Credit,2,2,13.48
TXN-0000107,ST-OTT-001,Eastern,N,Credit,6,5,59.44
TXN-0000108,ST-OTT-001,Eastern,Y,Debit,7,5,59.26
TXN-0000109,ST-OTT-001,Eastern,N,Credit,3,3,31.50
TXN-0000110,ST-OTT-001,Eastern,Y,Debit,7,6,85.29
TXN-0000111,ST-OTT-001,Eastern,Y,Debit,6,3,82.73
TXN-0000112,ST-OTT-001,Eastern,N,Cash,3,2,23.05
TXN-0000113,ST-OTT-001,Eastern,Y,Credit,2,2,18.63
TXN-0000114,ST-OTT-001,Eastern,Y,Debit,5,3,34.88
TXN-0000115,ST-OTT-001,Eastern,Y,Debit,5,4,41.76
TXN-0000116,ST-OTT-001,Eastern,N,Credit,5,3,41.60
TXN-0000117,ST-OTT-001,Eastern,Y,Debit,1,1,11.83
TXN-0000118,ST-OTT-001,Eastern,N,Debit,5,3,25.89
TXN-0000119,ST-OTT-001,Eastern,Y,Cash,6,4,68.75
TXN-0000120,ST-OTT-001,Eastern,Y,Mobile,4,3,22.74
TXN-0000121,ST-OTT-001,Eastern,N,Debit,5,3,31.16
TXN-0000122,ST-OTT-001,Eastern,Y,Credit,4,3,20.23
TXN-0000123,ST-OTT-002,Eastern,Y,Credit,3,2,42.26
TXN-0000124,ST-OTT-002,Eastern,Y,Credit,2,2,33.88
TXN-0000125,ST-OTT-002,Eastern,Y,Debit,4,4,44.98
TXN-0000126,ST-OTT-002,Eastern,Y,Debit,5,3,58.24
TXN-0000127,ST-OTT-002,Eastern,N,Cash,6,5,55.13
TXN-0000128,ST-OTT-002,Eastern,Y,Cash,2,2,13.14
TXN-0000129,ST-OTT-002,Eastern,Y,Credit,1,1,4.31
TXN-0000130,ST-OTT-002,Eastern,Y,Cash,5,4,66.35
TXN-0000131,ST-OTT-002,Eastern,Y,Credit,5,3,56.21
TXN-0000132,ST-OTT-002,Eastern,Y,Debit,2,1,25.70
TXN-0000133,ST-OTT-002,Eastern,Y,Debit,1,1,17.07
TXN-0000134,ST-OTT-002,Eastern,Y,Credit,3,2,35.14
TXN-0000135,ST-OTT-002,Eastern,Y,Debit,7,5,43.03
TXN-0000136,ST-OTT-002,Eastern,Y,Cash,3,3,34.60
TXN-0000137,ST-CAL-001,Western,Y,Credit,7,4,60.73
TXN-0000138,ST-CAL-001,Western,Y,Credit,3,3,30.68
TXN-0000139,ST-CAL-001,Western,Y,Credit,8,4,36.21
TXN-0000140,ST-CAL-001,Western,Y,Mobile,3,3,17.93
TXN-0000141,ST-CAL-001,Western,Y,Credit,8,5,69.49
TXN-0000142,ST-CAL-001,Western,N,Credit,4,2,19.18
TXN-0000143,ST-CAL-001,Western,N,Cash,3,2,19.64
TXN-0000144,ST-CAL-001,Western,N,Credit,6,4,56.50
TXN-0000145,ST-CAL-001,Western,N,Credit,9,6,96.60
TXN-0000146,ST-CAL-001,Western,Y,Credit,7,3,23.75
TXN-0000147,ST-CAL-001,Western,Y,Credit,1,1,3.03
TXN-0000148,ST-CAL-001,Western,Y,Credit,6,3,30.07
TXN-0000149,ST-CAL-001,Western,N,Credit,10,5,86.52
TXN-0000150,ST-CAL-001,Western,N,Mobile,5,2,54.67
TXN-0000151,ST-CAL-001,Western,Y,Credit,5,2,42.64
TXN-0000152,ST-EDM-001,Western,Y,Cash,3,2,39.23
TXN-0000153,ST-EDM-001,Western,Y,Mobile,5,4,58.41
TXN-0000154,ST-EDM-001,Western,Y,Credit,6,5,68.04
TXN-0000155,ST-EDM-001,Western,Y,Credit,4,3,53.62
TXN-0000156,ST-EDM-001,Western,Y,Credit,7,4,65.29
TXN-0000157,ST-EDM-001,Western,Y,Credit,13,7,128.72
TXN-0000158,ST-EDM-001,Western,Y,Credit,5,2,61.38
TXN-0000159,ST-EDM-001,Western,Y,Debit,5,4,43.89
TXN-0000160,ST-TOR-001,Central,N,Debit,5,5,33.21
TXN-0000161,ST-TOR-001,Central,Y,Credit,3,3,23.74
TXN-0000162,ST-TOR-001,Central,Y,Cash,3,2,33.01
TXN-0000163,ST-TOR-001,Central,N,Cash,3,3,7.60
TXN-0000164,ST-TOR-001,Central,Y,Credit,3,3,17.28
TXN-0000165,ST-TOR-001,Central,Y,Debit,7,3,83.91
TXN-0000166,ST-TOR-001,Central,Y,Mobile,4,3,16.20
TXN-0000167,ST-TOR-001,Central,Y,Debit,3,2,8.71
TXN-0000168,ST-TOR-001,Central,N,Credit,8,4,100.46
TXN-0000169,ST-TOR-001,Central,N,Debit,2,2,15.33
TXN-0000170,ST-TOR-001,Central,Y,Mobile,7,3,68.20
TXN-0000171,ST-TOR-002,Central,Y,Credit,7,3,35.94
TXN-0000172,ST-TOR-002,Central,Y,Credit,5,3,27.70
TXN-0000173,ST-TOR-002,Central,Y,Cash,2,1,30.14
TXN-0000174,ST-TOR-002,Central,Y,Debit,4,3,51.00
TXN-0000175,ST-TOR-002,Central,Y,Credit,1,1,9.90
TXN-0000176,ST-TOR-002,Central,N,Debit,1,1,5.01
TXN-0000177,ST-TOR-002,Central,Y,Credit,1,1,5.35
TXN-0000178,ST-TOR-002,Central,Y,Debit,5,4,48.54
TXN-0000179,ST-TOR-002,Central,N,Credit,4,2,46.42
TXN-0000180,ST-TOR-002,Central,N,Debit,7,5,78.93
TXN-0000181,ST-TOR-002,Central,Y,Cash,2,2,15.18
TXN-0000182,ST-TOR-002,Central,Y,Credit,7,4,65.86
TXN-0000183,ST-SCA-001,Central,Y,Credit,7,4,28.18
TXN-0000184,ST-SCA-001,Central,Y,Debit,5,5,36.84
TXN-0000185,ST-SCA-001,Central,Y,Mobile,8,5,54.30
TXN-0000186,ST-SCA-001,Central,Y,Mobile,3,2,42.86
TXN-0000187,ST-SCA-001,Central,Y,Credit,5,3,49.11
TXN-0000188,ST-SCA-001,Central,Y,Credit,6,3,72.20
TXN-0000189,ST-SCA-001,Central,N,Debit,4,3,50.32
TXN-0000190,ST-SCA-001,Central,Y,Debit,5,2,63.92
TXN-0000191,ST-SCA-001,Central,N,Credit,5,3,55.67
TXN-0000192,ST-SCA-001,Central,Y,Debit,3,1,34.38
TXN-0000193,ST-SCA-001,Central,Y,Debit,9,6,62.55
TXN-0000194,ST-SCA-001,Central,Y,Cash,7,4,66.55
TXN-0000195,ST-SCA-001,Central,Y,Credit,6,4,68.95
TXN-0000196,ST-SCA-001,Central,Y,Credit,4,3,20.77
TXN-0000197,ST-MIS-001,Central,Y,Credit,8,6,48.88
TXN-0000198,ST-MIS-001,Central,Y,Debit,4,3,11.62
TXN-0000199,ST-MIS-001,Central,Y,Credit,6,5,43.93
TXN-0000200,ST-MIS-001,Central,Y,Cash,6,4,58.40
TXN-0000201,ST-MIS-001,Central,N,Mobile,4,3,27.89
TXN-0000202,ST-MIS-001,Central,N,Credit,7,4,95.85
TXN-0000203,ST-MIS-001,Central,Y,Credit,7,3,80.47
TXN-0000204,ST-MIS-001,Central,Y,Credit,4,3,33.48
TXN-0000205,ST-MIS-001,Central,Y,Mobile,5,3,49.48
TXN-0000206,ST-MIS-001,Central,Y,Credit,3,2,26.64
TXN-0000207,ST-MIS-001,Central,N,Credit,8,4,86.99
TXN-0000208,ST-MIS-001,Central,Y,Credit,5,3,32.25
TXN-0000209,ST-MIS-001,Central,N,Debit,4,3,34.36
TXN-0000210,ST-MIS-001,Central,N,Credit,8,3,54.73
TXN-0000211,ST-MIS-001,Central,Y,Credit,4,2,32.32
TXN-0000212,ST-BRA-001,Central,Y,Credit,2,1,14.56
TXN-0000213,ST-BRA-001,Central,Y,Debit,3,2,38.79
TXN-0000214,ST-BRA-001,Central,N,Credit,3,1,33.72
TXN-0000215,ST-BRA-001,Central,N,Debit,3,3,41.74
TXN-0000216,ST-BRA-001,Central,Y,Credit,2,2,19.90
TXN-0000217,ST-BRA-001,Central,N,Credit,4,3,29.57
TXN-0000218,ST-BRA-001,Central,Y,Debit,1,1,6.14
TXN-0000219,ST-BRA-001,Central,Y,Credit,2,2,8.38
TXN-0000220,ST-BRA-001,Central,Y,Debit,2,2,13.91
TXN-0000221,ST-BRA-001,Central,N,Debit,8,4,31.53
TXN-0000222,ST-BRA-001,Central,Y,Debit,2,2,9.83
TXN-0000223,ST-BRA-001,Central,Y,Debit,3,3,18.50
TXN-0000224,ST-BRA-001,Central,Y,Debit,4,4,34.60
TXN-0000225,ST-BRA-001,Central,N,Credit,6,4,70.59
TXN-0000226,ST-BRA-001,Central,Y,Credit,1,1,5.32
TXN-0000227,ST-BRA-001,Central,N,Credit,3,2,9.53
TXN-0000228,ST-BRA-001,Central,Y,Credit,5,3,49.75
TXN-0000229,ST-BRA-001,Central,N,Debit,3,3,40.90
TXN-0000230,ST-HAM-001,Central,Y,Credit,3,2,7.73
TXN-0000231,ST-HAM-001,Central,Y,Debit,7,3,99.84
TXN-0000232,ST-HAM-001,Central,N,Credit,3,2,32.37
TXN-0000233,ST-HAM-001,Central,Y,Mobile,4,2,51.82
TXN-0000234,ST-HAM-001,Central,Y,Credit,6,4,54.55
TXN-0000235,ST-HAM-001,Central,Y,Credit,3,3,21.40
TXN-0000236,ST-HAM-001,Central,Y,Credit,2,2,9.69
TXN-0000237,ST-HAM-001,Central,Y,Credit,4,2,22.17
TXN-0000238,ST-HAM-001,Central,Y,Credit,1,1,12.94
TXN-0000239,ST-HAM-001,Central,Y,Debit,4,4,43.87
TXN-0000240,ST-HAM-001,Central,Y,Mobile,3,2,27.10
TXN-0000241,ST-HAM-001,Central,N,Cash,5,2,59.60
TXN-0000242,ST-HAM-001,Central,Y,Mobile,6,3,38.79
TXN-0000243,ST-HAM-001,Central,N,Credit,9,5,76.54
TXN-0000244,ST-HAM-001,Central,N,Cash,4,3,37.12
TXN-0000245,ST-HAM-001,Central,N,Credit,11,6,90.41
TXN-0000246,ST-HAM-001,Central,N,Debit,6,4,56.24
TXN-0000247,ST-KIT-001,Central,Y,Credit,1,1,6.26
TXN-0000248,ST-KIT-001,Central,Y,Debit,4,4,39.32
TXN-0000249,ST-KIT-001,Central,N,Debit,1,1,3.26
TXN-0000250,ST-KIT-001,Central,Y,Credit,2,2,11.67
TXN-0000251,ST-LON-001,Central,N,Credit,3,2,28.26
TXN-0000252,ST-LON-001,Central,Y,Debit,3,3,19.35
TXN-0000253,ST-LON-001,Central,Y,Debit,9,6,70.03
TXN-0000254,ST-LON-001,Central,Y,Debit,2,2,28.42
TXN-0000255,ST-LON-001,Central,Y,Credit,10,6,121.15
TXN-0000256,ST-LON-001,Central,Y,Debit,6,4,89.80
TXN-0000257,ST-LON-001,Central,N,Debit,7,5,52.12
TXN-0000258,ST-LON-001,Central,Y,Debit,3,2,39.93
TXN-0000259,ST-LON-001,Central,N,Debit,4,3,37.53
TXN-0000260,ST-LON-001,Central,N,Credit,8,3,71.94
TXN-0000261,ST-OTT-001,Eastern,N,Debit,6,4,75.94
TXN-0000262,ST-OTT-001,Eastern,N,Debit,3,3,22.39
TXN-0000263,ST-OTT-001,Eastern,Y,Credit,8,4,57.83
TXN-0000264,ST-OTT-001,Eastern,N,Mobile,6,3,36.44
TXN-0000265,ST-OTT-001,Eastern,Y,Debit,5,4,40.68
TXN-0000266,ST-OTT-001,Eastern,N,Credit,9,6,79.35
TXN-0000267,ST-OTT-001,Eastern,Y,Credit,3,2,15.38
TXN-0000268,ST-OTT-001,Eastern,Y,Debit,4,3,16.08
TXN-0000269,ST-OTT-001,Eastern,Y,Mobile,4,4,37.28
TXN-0000270,ST-OTT-001,Eastern,Y,Cash,5,4,56.29
TXN-0000271,ST-OTT-001,Eastern,Y,Credit,4,2,8.90
TXN-0000272,ST-OTT-001,Eastern,N,Debit,4,3,26.67
TXN-0000273,ST-OTT-001,Eastern,N,Cash,2,1,30.00
TXN-0000274,ST-OTT-001,Eastern,Y,Debit,1,1,11.04
TXN-0000275,ST-OTT-002,Eastern,N,Cash,3,3,13.10
TXN-0000276,ST-OTT-002,Eastern,Y,Credit,2,1,22.34
TXN-0000277,ST-OTT-002,Eastern,Y,Debit,8,4,81.49
TXN-0000278,ST-OTT-002,Eastern,Y,Debit,3,2,29.12
TXN-0000279,ST-OTT-002,Eastern,Y,Credit,6,4,73.39
TXN-0000280,ST-OTT-002,Eastern,Y,Mobile,5,3,23.23
TXN-0000281,ST-OTT-002,Eastern,Y,Debit,5,4,40.65
TXN-0000282,ST-OTT-002,Eastern,N,Credit,3,2,32.96
TXN-0000283,ST-OTT-002,Eastern,Y,Debit,4,2,50.48
TXN-0000284,ST-CAL-001,Western,Y,Credit,4,2,41.06
TXN-0000285,ST-CAL-001,Western,Y,Debit,8,3,78.04
TXN-0000286,ST-CAL-001,Western,Y,Debit,4,3,19.25
TXN-0000287,ST-CAL-001,Western,N,Credit,6,5,53.99
TXN-0000288,ST-CAL-001,Western,Y,Credit,6,3,45.95
TXN-0000289,ST-CAL-001,Western,N,Credit,4,3,46.85
TXN-0000290,ST-CAL-001,Western,Y,Cash,11,5,107.18
TXN-0000291,ST-CAL-001,Western,Y,Credit,9,3,125.26
TXN-0000292,ST-CAL-001,Western,Y,Credit,5,3,63.90
TXN-0000293,ST-CAL-001,Western,N,Credit,6,4,54.52
TXN-0000294,ST-CAL-001,Western,Y,Credit,6,3,35.38
TXN-0000295,ST-CAL-001,Western,Y,Debit,5,4,52.88
TXN-0000296,ST-CAL-001,Western,Y,Credit,7,3,62.53
TXN-0000297,ST-EDM-001,Western,Y,Cash,11,5,87.63
TXN-0000298,ST-EDM-001,Western,N,Credit,1,1,1.86
TXN-0000299,ST-EDM-001,Western,Y,Debit,6,5,50.28
TXN-0000300,ST-EDM-001,Western,Y,Credit,7,5,56.85
TXN-0000301,ST-EDM-001,Western,Y,Cash,1,1,15.39
TXN-0000302,ST-EDM-001,Western,N,Credit,2,1,17.02
TXN-0000303,ST-EDM-001,Western,N,Credit,7,3,34.72
TXN-0000304,ST-EDM-001,Western,Y,Debit,9,5,63.51
TXN-0000305,ST-EDM-001,Western,Y,Credit,3,3,29.87
TXN-0000306,ST-EDM-001,Western,N,Credit,7,6,93.66
TXN-0000307,ST-EDM-001,Western,Y,Credit,6,4,60.49
TXN-0000308,ST-EDM-001,Western,N,Debit,10,6,82.29
TXN-0000309,ST-TOR-001,Central,Y,Credit,4,2,36.28
TXN-0000310,ST-TOR-001,Central,Y,Credit,1,1,10.82
TXN-0000311,ST-TOR-001,Central,N,Cash,2,1,10.96
TXN-0000312,ST-TOR-001,Central,Y,Credit,6,4,50.35
TXN-0000313,ST-TOR-001,Central,N,Credit,6,4,51.30
TXN-0000314,ST-TOR-001,Central,Y,Credit,9,4,72.54
TXN-0000315,ST-TOR-001,Central,Y,Credit,3,1,21.27
TXN-0000316,ST-TOR-001,Central,Y,Credit,3,2,23.78
TXN-0000317,ST-TOR-001,Central,Y,Credit,3,3,36.39
TXN-0000318,ST-TOR-001,Central,Y,Debit,1,1,4.92
TXN-0000319,ST-TOR-001,Central,Y,Credit,4,4,44.88
TXN-0000320,ST-TOR-001,Central,N,Credit,1,1,15.53
TXN-0000321,ST-TOR-001,Central,Y,Credit,3,2,33.22
TXN-0000322,ST-TOR-001,Central,Y,Mobile,4,3,24.76
TXN-0000323,ST-TOR-001,Central,Y,Cash,8,5,46.43
TXN-0000324,ST-TOR-001,Central,Y,Mobile,13,4,158.14
TXN-0000325,ST-TOR-001,Central,Y,Cash,4,2,55.73
TXN-0000326,ST-TOR-001,Central,Y,Debit,3,2,13.95
TXN-0000327,ST-TOR-001,Central,Y,Credit,1,1,5.44
TXN-0000328,ST-TOR-001,Central,Y,Debit,7,4,29.21
TXN-0000329,ST-TOR-001,Central,Y,Debit,2,1,26.04
TXN-0000330,ST-TOR-001,Central,N,Debit,2,2,12.74
TXN-0000331,ST-TOR-001,Central,N,Credit,2,1,23.64
TXN-0000332,ST-TOR-001,Central,N,Credit,5,3,47.80
TXN-0000333,ST-TOR-001,Central,Y,Cash,5,5,37.53
TXN-0000334,ST-TOR-001,Central,Y,Credit,5,4,37.13
TXN-0000335,ST-TOR-001,Central,Y,Mobile,7,4,65.30
TXN-0000336,ST-TOR-001,Central,Y,Cash,7,6,57.76
TXN-0000337,ST-TOR-001,Central,Y,Cash,8,4,68.49
TXN-0000338,ST-TOR-001,Central,Y,Credit,4,3,51.60
TXN-0000339,ST-TOR-002,Central,N,Cash,3,3,29.22
TXN-0000340,ST-TOR-002,Central,Y,Credit,9,6,86.91
TXN-0000341,ST-TOR-002,Central,Y,Credit,10,4,128.18
TXN-0000342,ST-TOR-002,Central,Y,Debit,6,3,36.82
TXN-0000343,ST-TOR-002,Central,Y,Debit,9,4,104.42
TXN-0000344,ST-TOR-002,Central,Y,Cash,5,5,44.95
TXN-0000345,ST-TOR-002,Central,N,Debit,2,2,13.12
TXN-0000346,ST-TOR-002,Central,N,Cash,4,1,51.28
TXN-0000347,ST-TOR-002,Central,Y,Credit,2,2,11.65
TXN-0000348,ST-TOR-002,Central,Y,Debit,3,2,37.11
TXN-0000349,ST-TOR-002,Central,Y,Credit,7,4,60.59
TXN-0000350,ST-TOR-002,Central,Y,Credit,2,1,30.98
TXN-0000351,ST-TOR-002,Central,Y,Credit,6,4,75.73
TXN-0000352,ST-TOR-002,Central,N,Credit,9,3,103.93
TXN-0000353,ST-TOR-002,Central,Y,Mobile,1,1,7.03
TXN-0000354,ST-TOR-002,Central,Y,Debit,5,3,32.76
TXN-0000355,ST-TOR-002,Central,Y,Cash,1,1,7.74
TXN-0000356,ST-SCA-001,Central,Y,Credit,4,2,31.42
TXN-0000357,ST-SCA-001,Central,Y,Debit,4,4,28.65
TXN-0000358,ST-SCA-001,Central,Y,Debit,4,3,44.96
TXN-0000359,ST-SCA-001,Central,N,Debit,7,5,39.44
TXN-0000360,ST-SCA-001,Central,Y,Debit,7,3,78.64
TXN-0000361,ST-SCA-001,Central,Y,Credit,6,4,56.20
TXN-0000362,ST-SCA-001,Central,N,Credit,3,2,18.35
TXN-0000363,ST-SCA-001,Central,Y,Cash,9,4,66.68
TXN-0000364,ST-SCA-001,Central,Y,Cash,4,3,35.92
TXN-0000365,ST-SCA-001,Central,N,Credit,3,1,33.24
TXN-0000366,ST-SCA-001,Central,Y,Credit,4,3,46.73
TXN-0000367,ST-SCA-001,Central,Y,Debit,6,4,52.03
TXN-0000368,ST-SCA-001,Central,N,Credit,4,2,39.24
TXN-0000369,ST-SCA-001,Central,Y,Debit,5,4,26.47
TXN-0000370,ST-SCA-001,Central,Y,Cash,1,1,15.39
TXN-0000371,ST-SCA-001,Central,Y,Credit,4,4,32.93
TXN-0000372,ST-SCA-001,Central,Y,Mobile,2,2,7.85
TXN-0000373,ST-MIS-001,Central,Y,Debit,3,2,28.48
TXN-0000374,ST-MIS-001,Central,Y,Cash,4,2,32.20
TXN-0000375,ST-MIS-001,Central,Y,Credit,3,2,24.87
TXN-0000376,ST-MIS-001,Central,N,Credit,4,3,42.73
TXN-0000377,ST-MIS-001,Central,Y,Debit,1,1,5.53
TXN-0000378,ST-MIS-001,Central,N,Credit,3,2,13.02
TXN-0000379,ST-MIS-001,Central,N,Cash,7,4,49.65
TXN-0000380,ST-MIS-001,Central,N,Debit,11,6,76.61
TXN-0000381,ST-MIS-001,Central,Y,Credit,6,3,79.26
TXN-0000382,ST-BRA-001,Central,Y,Debit,6,3,32.57
TXN-0000383,ST-BRA-001,Central,N,Debit,3,2,26.65
TXN-0000384,ST-BRA-001,Central,Y,Credit,6,3,68.66
TXN-0000385,ST-BRA-001,Central,Y,Debit,2,2,18.12
TXN-0000386,ST-BRA-001,Central,Y,Debit,3,2,17.39
TXN-0000387,ST-BRA-001,Central,Y,Credit,4,3,37.24
TXN-0000388,ST-BRA-001,Central,N,Cash,4,3,17.69
TXN-0000389,ST-BRA-001,Central,Y,Debit,8,3,32.23
TXN-0000390,ST-BRA-001,Central,Y,Credit,4,3,51.35
TXN-0000391,ST-BRA-001,Central,N,Debit,6,3,46.30
TXN-0000392,ST-BRA-001,Central,N,Debit,7,4,108.18
TXN-0000393,ST-BRA-001,Central,Y,Credit,3,1,18.87
TXN-0000394,ST-BRA-001,Central,N,Mobile,7,5,72.70
TXN-0000395,ST-BRA-001,Central,Y,Debit,3,2,29.66
TXN-0000396,ST-BRA-001,Central,Y,Credit,2,1,22.44
TXN-0000397,ST-BRA-001,Central,Y,Mobile,1,1,6.29
